label,producto_code,initialVolume,b,t0
p139,1517,1577922011,184963273.63977858,1995
p140,1518,379227803,95533821.41617553,1995
p141,1519,2490597444,246384832.87314847,1995
p142,1520,697180456,32537371.22231499,1995
p143,1521,115474069,9219648.659749812,1995
p144,1522,48024366,4759067.55597223,1995
p145,1601,1367423825,156325879.6667228,1995
p146,1602,4374978416,496373423.600209,1995
p147,1603,105089274,6128808.539439878,1995
p148,1604,5785644769,445120674.33322394,1995
p149,1605,3169041005,413355832.0936658,1995
p150,1701,12700316135,611244127.1118598,1995
p151,1702,1669666133,216848785.47454435,1995
p152,1703,761510882,8037900.62734453,1995
p153,1704,3862543063,301996075.3466322,1995
p154,1801,2666475350,259378442.71561846,1995
p155,1802,36743261,6736036.825912479,1995
p156,1803,499712768,118859984.73201984,1995
p157,1804,1518788886,149304415.51638183,1995
p158,1805,336502641,97079889.55919465,1995
p159,1806,7803294017,812285259.8817314,1995
p160,1901,3390303026,701856465.5452421,1995
p161,1902,2287359058,309941140.06674737,1995
p162,1903,26696411,3477538.963309855,1995
p163,1904,1184888889,227865679.09048468,1995
p164,1905,7250043667,1087878336.8201816,1995
p165,2001,666888244,58888343.47859447,1995
p166,2002,1681056614,128723159.5146486,1995
p167,2003,888376063,13685078.193896113,1995
p168,2004,1810788857,263682869.06663212,1995
p169,2005,3652531124,300105459.93285066,1995
p170,2006,181572230,18852626.187763017,1995
p171,2007,776977831,102057326.03399056,1995
p172,2008,4174789507,453146062.6196971,1995
p173,2009,5936792922,424470663.22442496,1995
p174,2101,2193294966,256514272.33786476,1995
p175,2102,633008591,75925072.59067857,1995
p176,2103,2423502228,408942207.7477008,1995
p177,2104,929787217,104051212.55377851,1995
p178,2105,1226800033,111432004.2343613,1995
p179,2106,9104035738,1235616835.5717444,1995
p180,2201,1190162574,113926560.09498785,1995
p181,2202,3155628848,708023194.7532531,1995
p182,2203,4652571605,447517833.86080897,1995
p183,2204,10240826723,1074876129.704551,1995
p184,2205,313260293,8835278.114095619,1995
p185,2206,259766983,52802017.33790996,1995
p186,2207,1679236275,297255722.7569233,1995
p187,2208,11032212954,809272724.0643363,1995
p188,2209,120665487,23730598.25698273,1995
p189,2301,2490378796,146912779.25864246,1995
p190,2302,536070864,61957303.0940614,1995
p191,2303,1744801499,133103517.67342949,1995
p192,2304,5855962610,897042707.9028407,1995
p193,2305,94857321,-2771248.937013575,1995
p194,2306,1537797013,209252198.95272756,1995
p195,2307,16460795,-71217.24163374305,1995
p196,2308,472242171,18956593.94554101,1995
p197,2309,7018215087,860648672.7273058,1995
p198,2401,5175647965,255019679.7552941,1995
p199,2402,15906133035,311848256.8717577,1995
p200,2403,1689784136,203290881.45449787,1995
p201,2501,1140185499,86698152.36389057,1995
p202,2502,55598488,1333146.14499031,1995
p203,2503,985167310,124748541.36679071,1995
p204,2504,185123985,13961449.055815713,1995
p205,2505,758777064,48744204.945352264,1995
p206,2506,129919527,16679066.55640089,1995
p207,2507,1371054505,17277573.27005419,1995
p208,2508,820984895,57223093.27784237,1995
p209,2509,103135681,3036285.707982419,1995
p210,2510,1182944478,89285923.98658264,1995
p211,2511,175252870,23399764.879738264,1995
p212,2512,112139406,3799470.8071385613,1995
p213,2513,145323675,7533382.642699662,1995
p214,2514,50102781,1884028.4910527135,1995
p215,2515,350548154,90513163.2014751,1995
p216,2516,1063184054,41077415.34495302,1995
p217,2517,1251530686,88130346.96642013,1995
p218,2518,211440060,16055619.688553542,1995
p219,2519,1040939006,34761831.94632322,1995
p220,2520,531883257,30327391.846887268,1995
p221,2521,191322367,23972776.848867346,1995
p222,2522,309286930,33230911.196333073,1995
p223,2523,4800733621,342450527.2036642,1995
p224,2524,443415998,-3585311.334296656,1995
p225,2525,71448110,5613693.04652603,1995
p226,2526,420794448,22058297.087933194,1995
p227,2527,7422237,-569072.2241553599,1995
p228,2528,157006495,6574997.543863958,1995
p229,2529,433018136,36742980.27446718,1995
p230,2530,790013926,52127331.823217236,1995
p231,2601,10052972780,4359955717.16934,1995
p232,2602,562996303,188920899.69901896,1995
p233,2603,5850891057,1980859632.990224,1995
p234,2604,281286393,164906012.88966233,1995
p235,2605,36222871,25207002.90554612,1995
p236,2606,1022787289,124437340.10487096,1995
p237,2607,485384516,230329332.8998786,1995
p238,2608,1785692721,310342444.0308118,1995
p239,2609,208759379,22093072.699094743,1995
p240,2610,382049241,96487663.41857992,1995
p241,2611,50734788,10116248.898339227,1995
p242,2612,291849448,18245575.310672145,1995
p243,2613,1599222804,150476520.6772585,1995
p244,2614,706567093,59821551.82695827,1995
p245,2615,521909423,47196043.26272659,1995
p246,2616,547926539,249677105.05556202,1995
p247,2617,141703788,10715028.918981135,1995
p248,2618,161699985,19904361.430899456,1995
p249,2619,165770186,19296375.770316742,1995
p250,2620,1340992164,221583445.968978,1995
p251,2621,117528616,14473336.840991657,1995
p252,2701,20000768853,3987841117.0078073,1995
p253,2702,322280563,111824469.22478077,1995
p254,2703,543158436,49516313.61622837,1995
p255,2704,2271520171,263362819.1458112,1995
p256,2705,5573532,1531535.702796612,1995
p257,2706,162065254,19810147.453045607,1995
p258,2707,2608509230,1033239664.2247343,1995
p259,2708,470390190,30360065.66456116,1995
p260,2709,187517062150,50595974839.16006,1995
p261,2710,122128906624,29320463955.881065,1995
p262,2711,42874954573,15972793100.75395,1995
p263,2712,1021355747,132278459.65499122,1995
p264,2713,2532692061,766286449.6571167,1995
p265,2714,314437286,33620093.10252518,1995
p266,2715,295309745,81369334.37431881,1995
p267,2716,8407228908,1343220063.4061668,1995
p268,2801,378873461,45930339.70380927,1995
p269,2802,109356035,10183737.999258742,1995
p270,2803,1103497488,149561600.07927603,1995
p271,2804,2179559741,453237407.82988185,1995
p272,2805,263854027,28276140.455497365,1995
p273,2806,127177613,7443439.259141036,1995
p274,2807,419118271,30314729.790593587,1995
p275,2808,103196195,9823116.595187819,1995
p276,2809,1444341255,129120742.24695627,1995
p277,2810,186454945,13728852.34101044,1995
p278,2811,1335857980,146942921.1916464,1995
p279,2812,204656766,26237489.699537262,1995
p280,2813,97949390,4540695.389357626,1995
p281,2814,2446667472,238311414.9834255,1995
p282,2815,2193499863,162202237.24304938,1995
p283,2816,82385713,5497140.089184871,1995
p284,2817,364700266,44545504.944213666,1995
p285,2818,6378774345,429451739.76897883,1995
p286,2819,191786003,11622889.381416127,1995
p287,2820,218751788,6989539.351342467,1995
p288,2821,835521982,7462808.79009527,1995
p289,2822,274743040,41863464.842206955,1995
p290,2823,1022631616,-9592759.023857236,1995
p291,2824,168423879,1324463.6892474128,1995
p292,2825,1393220487,133016349.95055547,1995
p293,2826,425775771,34073679.98205263,1995
p294,2827,878386558,75303194.72807626,1995
p295,2828,229001145,16503750.74258994,1995
p296,2829,380636327,16973225.250782512,1995
p297,2830,195272826,17792189.03087161,1995
p298,2831,155499977,5347688.265796202,1995
p299,2832,195341071,9589677.728170816,1995
p300,2833,1038392741,118874068.67064944,1995
p301,2834,413205522,37424474.546322875,1995
p302,2835,1535523449,104255872.0972531,1995
p303,2836,2187675361,211293054.38358015,1995
p304,2837,364754192,26913233.908743322,1995
p305,2838,42634894,-2123620.350444886,1995
p306,2839,384121189,15152533.141144333,1995
p307,2840,633364896,7941519.3542337855,1995
p308,2841,625954920,81751042.13732553,1995
p309,2842,188907065,36301698.14200901,1995
p310,2843,1212924360,267111703.43431148,1995
p311,2844,5256281708,444681510.8100849,1995
p312,2845,110124171,10725379.500815868,1995
p313,2846,427835310,44679376.294944145,1995
p314,2847,457739729,13014332.785418285,1995
p315,2848,20589025,2000166.9961750545,1995
p316,2849,942797573,51216650.89609044,1995
p317,2850,292161746,16715737.284525523,1995
p318,2851,248986748,52103382.725417845,1995
p319,2901,5053905207,914184608.8057773,1995
p320,2902,11475903300,1709910665.5250614,1995
p321,2903,5021185785,216891314.21455392,1995
p322,2904,616118470,36590420.603806525,1995
p323,2905,10043353806,1030398386.6973363,1995
p324,2906,517307439,73054104.61599036,1995
p325,2907,2577267891,211033062.9878431,1995
p326,2908,511870773,3890085.753802937,1995
p327,2909,3604333285,538141941.2127397,1995
p328,2910,1458207566,114530609.46992718,1995
p329,2911,62745466,1492275.703213162,1995
p330,2912,1088606027,47908571.467833824,1995
p331,2913,71717206,204251.59719149265,1995
p332,2914,3020314431,153253934.87997165,1995
p333,2915,5427970069,350725183.8813595,1995
p334,2916,4113547450,248561005.01838344,1995
p335,2917,7022030446,440714443.0271989,1995
p336,2918,4068882662,170044588.31791988,1995
p337,2919,305040028,26524848.99345025,1995
p338,2920,791925298,28552617.54607238,1995
p339,2921,4378873349,263079269.77455425,1995
p340,2922,5237735135,603821739.1411928,1995
p341,2923,633386002,66157988.95792286,1995
p342,2924,4310063563,121935103.14022626,1995
p343,2925,496577172,39349218.218165815,1995
p344,2926,3024479239,116964419.38318293,1995
p345,2927,257635289,12594299.978804274,1995
p346,2928,318185970,42706626.0132282,1995
p347,2929,2367026921,155045841.77805597,1995
p348,2930,2925692599,249690890.85886008,1995
p349,2931,1886814713,219437193.53629407,1995
p350,2932,3078370889,222782681.8670364,1995
p351,2933,14997008357,2624111765.612606,1995
p352,2934,5980229659,733920175.146235,1995
p353,2935,1129757487,366597915.8303009,1995
p354,2936,5352728910,76731688.3540322,1995
p355,2937,2498293217,641808973.0731635,1995
p356,2938,278277328,47926751.247398436,1995
p357,2939,1203589975,53579921.73864815,1995
p358,2940,160182797,39211369.29938642,1995
p359,2941,6843952962,267264858.86693022,1995
p360,2942,346870531,94891237.40517989,1995
p361,3001,720943402,167743316.1907236,1995
p362,3002,6470206941,5688355902.521592,1995
p363,3003,3551651778,491482744.0234301,1995
p364,3004,40625731594,14348504991.33795,1995
p365,3005,2027745690,236016237.40623644,1995
p366,3006,3090467498,490325133.2858424,1995
p367,3101,141114220,31220649.68032192,1995
p368,3102,8002708916,677999684.4369974,1995
p369,3103,818202645,52199763.29620104,1995
p370,3104,4053023398,552946831.9769742,1995
p371,3105,9097364883,524873554.91386664,1995
p372,3201,182408093,6483245.7056731675,1995
p373,3202,451437280,13539840.105339365,1995
p374,3203,294477130,38833455.74344889,1995
p375,3204,10932653062,43584568.07033614,1995
p376,3205,125274943,5926510.2449633805,1995
p377,3206,5118616256,357276388.5655216,1995
p378,3207,1413664745,148406766.1934252,1995
p379,3208,5025578687,412100112.68631387,1995
p380,3209,1566504707,209536737.88668168,1995
p381,3210,378964177,21612800.549594726,1995
p382,3211,98859440,5868952.728309286,1995
p383,3212,821519040,72891457.9053204,1995
p384,3213,433875000,8592028.732067252,1995
p385,3214,2068486118,268024658.43568972,1995
p386,3215,2741563429,494091517.2850784,1995
p387,3301,1336069976,143436139.1058538,1995
p388,3302,4082090681,846874382.4422457,1995
p389,3303,4497913670,562071039.5102262,1995
p390,3304,6390730923,1560845954.0310283,1995
p391,3305,2615797515,488882955.0638348,1995
p392,3306,1110866054,183267243.691411,1995
p393,3307,3412598145,376187587.5352393,1995
p394,3401,1934043418,233733969.42534602,1995
p395,3402,8364579474,1086083585.831855,1995
p396,3403,1833201522,321734231.64635235,1995
p397,3404,863032105,81791213.37058681,1995
p398,3405,787438610,69904595.14089046,1995
p399,3406,635520092,113474781.68503626,1995
p400,3407,186524384,27595429.50147009,1995
p401,3501,1336222025,41928483.892170765,1995
p402,3502,250089807,52794327.42428553,1995
p403,3503,815614435,43927962.74919307,1995
p404,3504,621165673,85998430.69134083,1995
p405,3505,1245171440,105330930.14519152,1995
p406,3506,2539706101,390348351.91754943,1995
p407,3507,1483134148,157443440.999853,1995
p408,3601,147215931,11247148.022038441,1995
p409,3602,268661903,29311740.544587262,1995
p410,3603,341688342,54960786.53336768,1995
p411,3604,456835639,33181841.787747595,1995
p412,3605,154616950,2355676.1833418715,1995
p413,3606,158485380,11307113.82026866,1995
p414,3701,4159937001,41415823.53829536,1995
p415,3702,6114016515,-189228178.6896341,1995
p416,3703,3495944229,-132531997.01632962,1995
p417,3704,106785926,-2436083.071691936,1995
p418,3705,431958896,42672361.17720386,1995
p419,3706,281792385,-120377.04728714107,1995
p420,3707,3973851604,131523882.8748455,1995
p421,3801,612432078,64189500.8412174,1995
p422,3802,727100725,75421455.49357313,1995
p423,3803,96288609,7303362.679092258,1995
p424,3804,160940677,13420648.391752902,1995
p425,3805,82816101,8033165.181120127,1995
p426,3806,889399010,33835980.8662354,1995
p427,3807,37182880,6174216.275588468,1995
p428,3808,10374140968,970649506.6508255,1995
p429,3809,1659429071,124592355.26675835,1995
p430,3810,457332920,57464961.50501735,1995
p431,3811,5011024090,269297578.062288,1995
p432,3812,1743911847,121963968.18118148,1995
p433,3813,119742065,6357136.457009118,1995
p434,3814,637029797,61359191.6815779,1995
p435,3815,3374447034,633525704.0023761,1995
p436,3816,829257918,60113053.11316945,1995
p437,3817,746370629,75915122.76936638,1995
p438,3818,3281816455,452528006.44,1995
p439,3819,249202875,25359800.470236786,1995
p440,3820,327093334,41255819.70335062,1995
p441,3821,323322579,67304918.97065124,1995
p442,3822,3928774855,935233091.1180062,1995
p443,3823,10594669830,1787807530.9274807,1995
p444,3901,16854951342,2506609047.473009,1995
p445,3902,9029606631,1439594196.9354227,1995
p446,3903,11411918673,496256613.66494024,1995
p447,3904,7931383079,484326465.8993163,1995
p448,3905,2090148323,112725745.42800827,1995
p449,3906,4768857130,470442228.13573986,1995
p450,3907,16772728744,1739745444.0877597,1995
p451,3908,4138306943,456721490.22453165,1995
p452,3909,4018029334,507461386.9645383,1995
p453,3910,2292818662,211286306.35654882,1995
p454,3911,3852656832,105141489.90941122,1995
p455,3912,2142068666,145591481.24705884,1995
p456,3913,609204122,86255229.18331106,1995
p457,3914,1048723120,21003672.151928477,1995
p458,3915,953477293,217249621.74633336,1995
p459,3916,1600706126,184964404.40409744,1995
p460,3917,5483731086,819049054.265049,1995
p461,3918,1875009847,241242656.11678872,1995
p462,3919,4174796163,694970868.8526347,1995
p463,3920,17577999551,1732966724.6096032,1995
p464,3921,7672632869,775244693.9581091,1995
p465,3922,1257344542,123300147.4694603,1995
p466,3923,12691877366,1706875250.2450352,1995
p467,3924,4283896918,551200338.3377187,1995
p468,3925,2837966235,361481974.6173819,1995
p469,3926,17915344355,2315966038.4572573,1995
p470,4001,7085972273,473737283.86077845,1995
p471,4002,7167086276,734773156.9302244,1995
p472,4003,54047120,13458200.92280738,1995
p473,4004,83176104,8419939.741080135,1995
p474,4005,1405412893,286106878.4542324,1995
p475,4006,263375798,16957201.02384013,1995
p476,4007,238953588,17286028.8770236,1995
p477,4008,1661556676,114064361.78854886,1995
p478,4009,2930947059,299897723.3106866,1995
p479,4010,2077660994,164391095.32110223,1995
p480,4011,20881771186,2531835792.7608156,1995
p481,4012,972034154,72087796.24665356,1995
p482,4013,645404848,25370476.844519496,1995
p483,4014,451760665,39039429.51605929,1995
p484,4015,1764000424,250643091.33002266,1995
p485,4016,6483296008,833289247.9238726,1995
p486,4017,148639422,7745769.186681777,1995
p487,4101,4442743727,-51018801.51430265,1995
p488,4102,1172370880,-20028836.51565448,1995
p489,4103,372736271,8750903.72187978,1995
p490,4104,10732574105,273556580.2419024,1995
p491,4105,1602399006,-25646012.59841664,1995
p492,4106,694091237,7972830.8414415335,1995
p493,4107,896876072,7186210.7477577925,1995
p494,4108,162373786,1009359.9418749511,1995
p495,4109,498136335,937094.3014883611,1995
p496,4110,96514068,-1051090.520221728,1995
p497,4111,169011196,2142262.653853234,1995
p498,4201,307210657,53025010.72244207,1995
p499,4202,15069353329,1772016399.5250268,1995
p500,4203,6024878941,76594103.82609215,1995
p501,4204,69313943,-2973776.473867596,1995
p502,4205,508216616,99232874.62806308,1995
p503,4206,68492824,-378199.5147699344,1995
p504,4301,1129920156,96261148.15710407,1995
p505,4302,1200851849,12640641.336939132,1995
p506,4303,1038147846,135275026.68856677,1995
p507,4304,50594962,1350188.6069731477,1995
p508,4401,2565228046,245016839.03519332,1995
p509,4402,199954309,38336302.76913161,1995
p510,4403,10680375104,203883269.0570298,1995
p511,4404,126241653,6347153.742338461,1995
p512,4405,25360488,3101951.6392274722,1995
p513,4406,143377874,9118361.162342552,1995
p514,4407,24615469059,414554201.96665627,1995
p515,4408,2252139177,45493850.46746227,1995
p516,4409,2211986194,125494054.66617626,1995
p517,4410,3607301791,211420203.64347172,1995
p518,4411,2110200183,400051186.6689474,1995
p519,4412,8702609182,235716022.39316028,1995
p520,4413,168517518,8943631.042457122,1995
p521,4414,481444066,20709486.105184782,1995
p522,4415,958448557,108150984.0775335,1995
p523,4416,148826073,32014892.911001205,1995
p524,4417,183800701,7775165.853258533,1995
p525,4418,5262773805,398252893.36202025,1995
p526,4419,490877741,28240230.130266756,1995
p527,4420,928595219,35597742.96268359,1995
p528,4421,2188419559,183684956.49654028,1995
p529,4501,102440619,4223844.81477453,1995
p530,4502,21734423,2015105.6343869418,1995
p531,4503,485173831,12913685.801667333,1995
p532,4504,431506874,17914499.225804854,1995
p533,4601,318871078,12952087.798446447,1995
p534,4602,937418183,34256715.074909285,1995
p535,4701,665180889,-16169684.755450299,1995
p536,4702,1452263718,101709537.23655851,1995
p537,4703,19239694411,402584625.4281482,1995
p538,4704,1733866247,-60371085.94199235,1995
p539,4705,875275461,42158338.32795779,1995
p540,4706,387095349,28695916.170334846,1995
p541,4707,3620019135,248061682.6674879,1995
p542,4801,11437878764,-188327015.19570908,1995
p543,4802,13675950610,270292897.66667706,1995
p544,4803,1309254588,108974260.55252324,1995
p545,4804,8302721534,197439206.2446671,1995
p546,4805,5558287273,280644583.9721526,1995
p547,4806,659651568,53236857.06618798,1995
p548,4807,714187964,2604106.199137603,1995
p549,4808,856887262,44435346.495355025,1995
p550,4809,1330055161,-15418042.217910007,1995
p551,4810,20656012882,422094852.046823,1995
p552,4811,7397143402,477523409.011438,1995
p553,4812,93476487,3357443.170381824,1995
p554,4813,897391261,55685263.20893981,1995
p555,4814,1198116726,23359195.086692024,1995
p556,4815,8360171,-27581.608531770296,1995
p557,4816,710401846,-8062188.5030331565,1995
p558,4817,579745322,24610800.409512118,1995
p559,4818,6971486321,881322068.1152545,1995
p560,4819,7703452831,659545420.7244563,1995
p561,4820,2226250797,102184722.56240064,1995
p562,4821,1583895859,143695225.86931178,1995
p563,4822,234598153,7964731.304993804,1995
p564,4823,6142042081,149574620.49928567,1995
p565,4901,9870084965,284747327.83639556,1995
p566,4902,4882723019,-13899622.167648926,1995
p567,4903,444946505,26928232.97560189,1995
p568,4904,101896948,217479.33746285914,1995
p569,4905,163330739,5419650.1772322105,1995
p570,4906,320586631,-5311577.3822734635,1995
p571,4907,718019702,105907815.33887236,1995
p572,4908,507965539,28504579.93539534,1995
p573,4909,589678014,32014065.52043278,1995
p574,4910,326805283,8130877.225502172,1995
p575,4911,5738293130,264798707.98545563,1995
p576,5001,42838926,-2102861.475656109,1995
p577,5002,503831234,-7698473.9920419995,1995
p578,5003,89698150,-1339807.3140867727,1995
p579,5004,199210402,3473970.08525789,1995
p580,5005,156945569,-2019131.8778072952,1995
p581,5006,11107521,507238.13265792653,1995
p582,5007,2161695390,-34954103.01356366,1995
p583,5101,3802555653,-33207591.231086094,1995
p584,5102,645697725,-12310038.584101507,1995
p585,5103,154059919,-2625180.390217917,1995
p586,5104,5759937,-16363.20645135548,1995
p587,5105,2173263385,-26430888.95032516,1995
p588,5106,717307522,-1725961.6415492238,1995
p589,5107,1440800518,1783394.7031433058,1995
p590,5108,207534652,16845298.928958148,1995
p591,5109,154557011,10659855.019369401,1995
p592,5110,7110535,-34389.88377232663,1995
p593,5111,1930353639,-42340646.683403976,1995
p594,5112,3200712232,-40915503.841188274,1995
p595,5113,14734036,382675.9419500513,1995
p596,5201,9274836807,202470083.8751476,1995
p597,5202,401848101,3982169.436315203,1995
p598,5203,165384021,8344781.291339652,1995
p599,5204,212001396,-1423277.564397106,1995
p600,5205,6332624898,247644859.37714633,1995
p601,5206,573637253,42848821.70567079,1995
p602,5207,300807734,5154396.607960337,1995
p603,5208,9582221842,167881929.6221389,1995
p604,5209,7138733071,22964524.245909486,1995
p605,5210,1704753412,30831370.50670644,1995
p606,5211,1151191011,96295524.02068037,1995
p607,5212,636945417,12465937.639603626,1995
p608,5301,417758186,11514147.240367329,1995
p609,5302,9130842,706575.6685789078,1995
p610,5303,107700215,5087848.395453811,1995
p611,5304,59475846,-2362744.632293553,1995
p612,5305,92416012,17863636.057657354,1995
p613,5306,295859936,5042294.405017614,1995
p614,5307,160483177,14748162.911855208,1995
p615,5308,210372499,-5784521.019418737,1995
p616,5309,1165562851,2908907.080875038,1995
p617,5310,194116880,-227316.9798476398,1995
p618,5311,245105484,4871029.830721229,1995
p619,5401,676527935,23251075.68145964,1995
p620,5402,11813407413,232922103.5647461,1995
p621,5403,2085415710,-42037996.05392877,1995
p622,5404,859487378,22218661.009342868,1995
p623,5405,27315023,288754.73246411985,1995
p624,5406,83026545,1281740.0152178507,1995
p625,5407,14888461917,384190596.89234596,1995
p626,5408,3357234980,-110499498.06683199,1995
p627,5501,911057169,17893542.348187592,1995
p628,5502,1354298458,41014340.62849496,1995
p629,5503,5402992827,67732803.99139932,1995
p630,5504,1711188679,34719516.23736619,1995
p631,5505,310046610,-3419203.815564841,1995
p632,5506,429436972,-5354949.124441687,1995
p633,5507,103081990,-3380206.6628978895,1995
p634,5508,517702948,11867475.707914345,1995
p635,5509,3996353416,59333073.535008326,1995
p636,5510,787146287,33487385.597385976,1995
p637,5511,197170230,9342090.066887371,1995
p638,5512,2068975699,38186252.91292439,1995
p639,5513,3107125663,-9677779.875065804,1995
p640,5514,1208522084,40560836.447372966,1995
p641,5515,2852442122,45631284.620285675,1995
p642,5516,5406548785,-123521336.0621077,1995
p643,5601,1097113201,64571033.88567889,1995
p644,5602,707529747,21199979.08943676,1995
p645,5603,4341791440,460932806.7735334,1995
p646,5604,1017684155,-28216170.29601684,1995
p647,5605,157276329,2891777.5916566993,1995
