,location_id,location_code,location_name_short_en,level,parent_id,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
14,18,BEL,Belgium,country,355.0,357000000000.0,371000000000.0,378000000000.0,391000000000.0,406000000000.0,410000000000.0,417000000000.0,422000000000.0,437000000000.0,447000000000.0,458000000000.0,475000000000.0,477000000000.0,468000000000.0,481000000000.0,489000000000.0,493000000000.0,495000000000.0,503000000000.0,513000000000.0,520000000000.0,528000000000.0,537000000000.0,547000000000.0
15,19,BEN,Benin,country,352.0,5320000000.0,5620000000.0,5850000000.0,6160000000.0,6520000000.0,6870000000.0,7190000000.0,7440000000.0,7760000000.0,7900000000.0,8210000000.000001,8700000000.0,9130000000.0,9340000000.0,9540000000.0,9820000000.0,10300000000.0,11000000000.0,11700000000.0,11900000000.0,12300000000.0,13000000000.0,13900000000.0,14900000000.0
16,21,BFA,Burkina Faso,country,352.0,4550000000.0,4840000000.0,5190000000.0,5580000000.0,5680000000.0,6060000000.0,6320000000.0,6810000000.0,7120000000.0,7740000000.0,8220000000.000001,8560000000.000001,9050000000.0,9320000000.0,10100000000.0,10800000000.0,11500000000.0,12100000000.0,12700000000.0,13200000000.0,13900000000.0,14800000000.0,15800000000.0,16700000000.0
17,22,BGD,Bangladesh,country,353.0,55300000000.0,57800000000.0,60800000000.0,63600000000.0,67000000000.0,70400000000.0,73100000000.0,76600000000.0,80600000000.0,85900000000.0,91600000000.0,98100000000.0,104000000000.0,109000000000.0,115000000000.0,123000000000.0,131000000000.0,139000000000.0,147000000000.0,157000000000.0,168000000000.0,180000000000.0,194000000000.0,210000000000.0
18,23,BGR,Bulgaria,country,355.0,37900000000.0,32500000000.0,33900000000.0,31100000000.0,32600000000.0,33799999999.999996,35800000000.0,37700000000.0,40100000000.0,42900000000.0,45900000000.0,48900000000.0,51900000000.0,50100000000.0,50400000000.0,51600000000.0,51800000000.0,51900000000.0,52900000000.0,55000000000.0,57100000000.0,59100000000.0,60900000000.0,63200000000.0
19,24,BHR,Bahrain,country,353.0,12900000000.0,13300000000.0,13900000000.0,14500000000.0,15300000000.0,15600000000.0,16200000000.0,17200000000.0,18400000000.0,19600000000.0,20900000000.0,22600000000.0,24000000000.0,24600000000.0,25700000000.0,26200000000.0,27200000000.0,28700000000.0,29900000000.0,30700000000.0,31800000000.0,33100000000.0,33700000000.000004,34400000000.0
20,25,BHS,Bahamas,country,356.0,7890000000.0,8430000000.0,8050000000.000001,9030000000.0,9410000000.0,9660000000.0,9920000000.0,9790000000.0,9880000000.0,10200000000.0,10500000000.0,10600000000.0,10400000000.0,9940000000.0,10100000000.0,10200000000.0,10500000000.0,10200000000.0,10300000000.0,10300000000.0,10500000000.0,10800000000.0,11100000000.0,11300000000.0
21,26,BIH,Bosnia and Herzegovina,country,355.0,6300000000.0,8460000000.000001,9780000000.0,10700000000.0,11300000000.0,11800000000.0,12400000000.0,12900000000.0,13700000000.0,14900000000.0,15700000000.0,16700000000.0,17600000000.0,17000000000.0,17200000000.0,17300000000.0,17200000000.0,17600000000.0,17800000000.0,18400000000.0,18900000000.0,19500000000.0,20300000000.0,20800000000.0
22,28,BLR,Belarus,country,355.0,21200000000.0,23600000000.0,25600000000.0,26500000000.0,28000000000.0,29400000000.0,30800000000.0,33000000000.0,36800000000.0,40200000000.0,44300000000.0,48100000000.0,53000000000.0,53100000000.0,57200000000.0,60300000000.0,61300000000.0,61900000000.0,63000000000.0,60600000000.0,59100000000.0,60600000000.0,62500000000.0,63300000000.0
23,29,BLZ,Belize,country,356.0,724000000.0,749000000.0,777000000.0,845000000.0,956000000.0,1000000000.0,1050000000.0,1150000000.0,1200000000.0,1220000000.0,1280000000.0,1290000000.0,1330000000.0,1340000000.0,1380000000.0,1400000000.0,1440000000.0,1460000000.0,1520000000.0,1550000000.0,1550000000.0,1580000000.0,1630000000.0,1660000000.0
24,30,BMU,Bermuda,country,356.0,4830000000.0,5050000000.0,5240000000.0,5420000000.0,5930000000.0,6360000000.0,6260000000.0,6480000000.0,6630000000.0,6740000000.0,7110000000.0,7350000000.0,7210000000.0,6800000000.0,6630000000.0,6390000000.0,6050000000.0,6030000000.0,5810000000.0,5850000000.0,5810000000.0,6020000000.0,6000000000.0,6030000000.0
25,31,BOL,Bolivia,country,357.0,11900000000.0,12500000000.0,13100000000.0,13200000000.0,13500000000.0,13700000000.0,14000000000.0,14400000000.0,15000000000.0,15700000000.0,16399999999.999998,17200000000.0,18300000000.0,18900000000.0,19600000000.0,20700000000.0,21700000000.0,23200000000.0,24500000000.0,25700000000.0,26800000000.0,27900000000.0,29100000000.0,29700000000.0
26,32,BRA,Brazil,country,357.0,7805000000.0,8195000000.0,8565000000.0,8625000000.0,8865000000.0,8915000000.0,9080000000.0,9325000000.0,9655000000.0,10090000000.0,10575000000.0,11025000000.0,11590000000.0,11770000000.0,12065000000.0,12600000000.0,13090000000.0,13810000000.0,14455000000.0,15110000000.0,15715000000.0,16275000000.0,16865000000.0,17160000000.0
27,33,BRB,Barbados,country,356.0,3710000000.0,3890000000.0,4030000000.0000005,4050000000.0,4230000000.0000005,4130000000.0,4160000000.0,4250000000.0,4310000000.0,4480000000.0,4750000000.0,4850000000.0,4880000000.0,4640000000.0,4530000000.0,4500000000.0,4480000000.0,4420000000.0,4410000000.0,4520000000.0,4630000000.0,4650000000.0,4630000000.0,4620000000.0
28,35,BTN,Bhutan,country,353.0,531000000.0,560000000.0,593000000.0,640000000.0,662000000.0,717000000.0,796000000.0,858000000.0,910000000.0,976000000.0,1040000000.0,1240000000.0,1300000000.0,1380000000.0,1550000000.0,1670000000.0,1760000000.0,1790000000.0,1900000000.0,2020000000.0,2190000000.0,2290000000.0,2360000000.0,2490000000.0
29,37,BWA,Botswana,country,352.0,7040000000.0,7620000000.0,7660000000.0,8400000000.0,8560000000.000001,8580000000.0,9110000000.0,9530000000.0,9790000000.0,10200000000.0,11100000000.0,12000000000.0,12800000000.0,11800000000.0,12800000000.0,13600000000.0,14200000000.0,15800000000.0,16399999999.999998,16100000000.000002,16800000000.0,17300000000.0,18100000000.0,18700000000.0
30,38,CAF,Central African Republic,country,352.0,1380000000.0,1460000000.0,1520000000.0,1580000000.0,1540000000.0,1610000000.0,1670000000.0,1580000000.0,1670000000.0,1690000000.0,1770000000.0,1850000000.0,1890000000.0,2049999999.9999998,2140000000.0000002,2230000000.0,2350000000.0,1490000000.0,1490000000.0,1560000000.0,1630000000.0,1710000000.0,1770000000.0,1820000000.0
31,39,CAN,Canada,country,356.0,224690000000.0,229730000000.0,237260000000.0,241290000000.0,250770000000.0,254805000000.0,254835000000.0,254790000000.0,261835000000.0,269345000000.0,279885000000.0,291425000000.0,299445000000.0,293025000000.0,302570000000.0,308615000000.0,312675000000.0,317745000000.0,325245000000.0,330780000000.0,337815000000.0,342855000000.0,353385000000.0,357410000000.0
32,41,CHE,Switzerland,country,355.0,448000000000.0,458000000000.0,473000000000.0,481000000000.0,500000000000.0,508000000000.0,508000000000.0,508000000000.0,522000000000.0,537000000000.0,558000000000.0,581000000000.0,597000000000.0,584000000000.0,603000000000.0,615000000000.0,623000000000.0,634000000000.0,649000000000.0,660000000000.0,674000000000.0,684000000000.0,705000000000.0,713000000000.0
33,42,CHL,Chile,country,357.0,123000000000.0,132000000000.0,138000000000.0,137000000000.0,145000000000.0,149000000000.0,154000000000.0,160000000000.0,172000000000.0,182000000000.0,193000000000.0,203000000000.0,210000000000.0,206000000000.0,219000000000.0,232000000000.0,244000000000.0,254000000000.0,259000000000.0,265000000000.0,269000000000.0,272000000000.0,282000000000.0,285000000000.0
34,43,CHN,China,country,353.0,71800000000.0,76700000000.0,80200000000.0,79900000000.0,83650000000.0,85650000000.0,88000000000.0,90850000000.0,96950000000.0,102150000000.0,107850000000.0,113050000000.0,116800000000.0,115200000000.0,121950000000.0,127900000000.0,135200000000.0,141350000000.0,145100000000.0,149500000000.0,152700000000.0,155550000000.0,161900000000.0,164700000000.0
35,45,CMR,Cameroon,country,352.0,15000000000.0,15800000000.0,16500000000.0,17200000000.0,17800000000.0,18600000000.0,19400000000.0,20200000000.0,21600000000.0,22000000000.0,22800000000.0,23900000000.0,24800000000.0,25300000000.0,26200000000.0,27200000000.0,28500000000.0,30000000000.0,31800000000.0,33600000000.0,35200000000.0,36400000000.0,37900000000.0,39300000000.0
36,49,COL,Colombia,country,357.0,188000000000.0,194000000000.0,195000000000.0,187000000000.0,193000000000.0,196000000000.0,201000000000.0,209000000000.0,220000000000.0,230000000000.0,246000000000.0,263000000000.0,271000000000.0,274000000000.0,287000000000.0,306000000000.0,318000000000.0,335000000000.0,350000000000.0,360000000000.0,368000000000.0,373000000000.0,382000000000.0,395000000000.0
37,50,COM,Comoros,country,352.0,590000000.0,614000000.0,622000000.0,634000000.0,703000000.0,719000000.0,736000000.0,752000000.0,766000000.0,788000000.0,809000000.0,815000000.0,848000000.0,875000000.0,908000000.0,945000000.0,975000000.0,1020000000.0,1040000000.0,1050000000.0,1090000000.0,1130000000.0,1170000000.0,1190000000.0
38,52,CRI,Costa Rica,country,356.0,20000000000.0,21100000000.0,22600000000.0,23500000000.0,24500000000.0,25300000000.0,26200000000.0,27300000000.0,28500000000.0,29600000000.0,31800000000.0,34400000000.0,36100000000.0,35700000000.0,37700000000.0,39300000000.0,41200000000.0,42300000000.0,43800000000.0,45400000000.0,47300000000.0,49200000000.0,50200000000.0,51300000000.0
39,54,CUB,Cuba,country,356.0,33400000000.0,34400000000.0,34400000000.0,36600000000.0,38700000000.0,40000000000.0,40500000000.0,42100000000.0,44500000000.0,49500000000.0,55500000000.0,59500000000.0,61900000000.0,62800000000.0,64300000000.0,66099999999.99999,68099999999.99999,70000000000.0,70700000000.0,73900000000.0,74200000000.0,75600000000.0,77300000000.0,77100000000.0
40,57,CYM,Cayman Islands,country,356.0,24350000000.0,25050000000.0,25500000000.0,27050000000.0,28600000000.0,29650000000.0,30250000000.0,31300000000.0,33000000000.0,36050000000.0,4480000000.0,4620000000.0,4600000000.0,4269999999.9999995,4160000000.0,4210000000.0,4260000000.0,4310000000.0,4430000000.0,4550000000.0,4700000000.0,4850000000.0,5050000000.0,5240000000.0
41,58,CYP,Cyprus,country,353.0,15300000000.0,15700000000.0,16600000000.000002,17500000000.0,18500000000.0,19300000000.0,20000000000.0,20500000000.0,21500000000.0,22600000000.0,23600000000.0,24800000000.0,25700000000.0,25200000000.0,25700000000.0,25800000000.0,24900000000.0,23300000000.0,22900000000.0,23600000000.0,25100000000.0,26400000000.0,27800000000.0,28700000000.0
42,59,CZE,Czech Republic,country,355.0,146000000000.0,145000000000.0,145000000000.0,147000000000.0,153000000000.0,157000000000.0,160000000000.0,166000000000.0,174000000000.0,185000000000.0,197000000000.0,208000000000.0,214000000000.0,204000000000.0,209000000000.0,213000000000.0,211000000000.0,211000000000.0,216000000000.0,227000000000.0,233000000000.0,245000000000.0,253000000000.0,259000000000.0
43,61,DEU,Germany,country,355.0,97452333333.33334,96788333333.33334,96792666666.66666,98126666666.66666,102129666666.66666,104796000000.0,106792333333.33334,110800333333.33334,116138000000.0,123472000000.0,131478666666.66666,138821000000.0,142832000000.0,136163666666.66666,105065000000.0,142164333333.3333,140829333333.3333,140827666666.6667,144168000000.0,151497000000.0,155501000000.0,163489666666.6667,168826666666.6667,172832000000.0
44,62,DJI,Djibouti,country,352.0,48904666666.66667,48576666666.66667,48585333333.33333,49253333333.33333,51259333333.33333,52592000000.0,53584666666.66667,55600666666.66667,58276000000.0,61944000000.0,65957333333.33333,69642000000.0,71664000000.0,68327333333.33333,1130000000.0,71328666666.66666,70658666666.66666,70655333333.33334,72336000000.0,75994000000.0,78002000000.0,81979333333.33334,84653333333.33334,86664000000.0
45,63,DMA,Dominica,country,356.0,357000000.0,365000000.0,378000000.0,380000000.0,389000000.0,388000000.0,377000000.0,401000000.0,414000000.0,416000000.0,436000000.0,463000000.0,496000000.0,491000000.0,494000000.0,493000000.0,488000000.0,483000000.0,504000000.0,491000000.0,503000000.0,469000000.0,480000000.0,496000000.0
46,64,DNK,Denmark,country,355.0,265000000000.0,273000000000.0,279000000000.0,287000000000.0,298000000000.0,301000000000.0,302000000000.0,303000000000.0,311000000000.0,319000000000.0,331000000000.0,334000000000.0,332000000000.0,316000000000.0,322000000000.0,326000000000.0,327000000000.0,330000000000.0,335000000000.0,343000000000.0,354000000000.0,364000000000.0,372000000000.0,383000000000.0
47,65,DOM,Dominican Republic,country,356.0,26600000000.0,29000000000.0,31000000000.0,32799999999.999996,34299999999.999996,35200000000.0,36700000000.0,36300000000.0,37200000000.0,40700000000.0,44400000000.0,47700000000.0,49200000000.0,49700000000.0,53900000000.0,55500000000.0,57100000000.0,59800000000.0,64099999999.99999,68500000000.0,73100000000.0,76500000000.0,81800000000.0,85900000000.0
48,66,DZA,Algeria,country,352.0,97000000000.0,98100000000.0,103000000000.0,106000000000.0,110000000000.0,114000000000.0,120000000000.0,129000000000.0,134000000000.0,142000000000.0,145000000000.0,150000000000.0,153000000000.0,156000000000.0,161000000000.0,166000000000.0,172000000000.0,176000000000.0,183000000000.0,190000000000.0,196000000000.0,198000000000.0,201000000000.0,202000000000.0
49,67,ECU,Ecuador,country,357.0,44800000000.0,46700000000.0,48200000000.0,46000000000.0,46500000000.0,48300000000.0,50300000000.0,51700000000.0,55900000000.0,58900000000.0,61500000000.0,62800000000.0,66800000000.0,67200000000.0,69600000000.0,75000000000.0,79300000000.0,83200000000.0,86300000000.0,86400000000.0,85400000000.0,87400000000.0,88500000000.0,88500000000.0
50,68,EGY,Egypt,country,352.0,109000000000.0,115000000000.0,121000000000.0,128000000000.0,136000000000.0,141000000000.0,145000000000.0,149000000000.0,155000000000.0,162000000000.0,173000000000.0,186000000000.0,199000000000.0,208000000000.0,219000000000.0,223000000000.0,228000000000.0,233000000000.0,240000000000.0,250000000000.0,261000000000.0,272000000000.0,286000000000.0,302000000000.0
51,69,ERI,Eritrea,country,352.0,1370000000.0,1480000000.0,1500000000.0,1500000000.0,1460000000.0,1580000000.0,1630000000.0,1590000000.0,1610000000.0,1650000000.0,1640000000.0,1660000000.0,1500000000.0,1560000000.0,1590000000.0,1730000000.0,159266666666.6667,162700000000.0,167600000000.0,174400000000.0,181966666666.6667,189733333333.3333,199433333333.3333,210533333333.3333
